painel,rotulo_projeto,LOINC_NUM,LONG_COMMON_NAME,SHORTNAME,DisplayName,COMPONENT,PROPERTY,TIME_ASPCT,SYSTEM,SCALE_TYP,METHOD_TYP,CLASS,STATUS,EXAMPLE_UCUM_UNITS,COMMON_TEST_RANK,ptBR_COMPONENT,ptBR_PROPERTY,ptBR_TIME_ASPCT,ptBR_SYSTEM,ptBR_SCALE_TYP,ptBR_METHOD_TYP,ptBR_SHORTNAME,ptBR_RELATEDNAMES2
Hepatica,AST (TGO),1920-8,Aspartate aminotransferase [Enzymatic activity/volume] in Serum or Plasma,AST SerPl-cCnc,AST [Catalytic activity/Vol],Aspartate aminotransferase,CCnc,Pt,Ser/Plas,Qn,,CHEM,ACTIVE,U/L,27,Aspartato amino transferase,CCnc,Pt,Sor/Plas,Qn,,AST SerPl-cCnc,; AST; Aspartate amino transferase; Glutamic oxaloacetic transaminase; Aspartate transaminase; SGOT; Asp; Aspartic acid; Catalytic Concentration; Point in time; Random; SerPl; SerPlas; SerP; Serum; SR; Plasma; Pl; Plsm; Quantitative; QNT; Quant; Quan; Chemistry
Hepatica,Gama-GT,2324-2,Gamma glutamyl transferase [Enzymatic activity/volume] in Serum or Plasma,GGT SerPl-cCnc,Gamma glutamyl transferase [Catalytic activity/Vol],Gamma glutamyl transferase,CCnc,Pt,Ser/Plas,Qn,,CHEM,ACTIVE,U/L,274,Gama Glutamil Transferase,CCnc,Pt,Sor/Plas,Qn,,GGT SerPl-cCnc,; GGT; Gamma-GTP; GGTP; Gamma glutamyl transpeptidase; Catalytic Concentration; Point in time; Random; SerPl; SerPlas; SerP; Serum; SR; Plasma; Pl; Plsm; Quantitative; QNT; Quant; Quan; GT; Chemistry
Hepatica,Fosfatase alcalina,6768-6,Alkaline phosphatase [Enzymatic activity/volume] in Serum or Plasma,ALP SerPl-cCnc,ALP [Catalytic activity/Vol],Alkaline phosphatase,CCnc,Pt,Ser/Plas,Qn,,CHEM,ACTIVE,U/L,26,Fosfatase alcalina,CCnc,Pt,Sor/Plas,Qn,,ALP SerPl-cCnc,; ALP; Alk phos; Alkaline phos; ALKP; AP; Alkaline phosphatase.total; Catalytic Concentration; Point in time; Random; SerPl; SerPlas; SerP; Serum; SR; Plasma; Pl; Plsm; Quantitative; QNT; Quant; Quan; Phos; Phosphtase; Chemistry
Hepatica,Bilirrubina total,1975-2,Bilirubin.total [Mass/volume] in Serum or Plasma,Bilirub SerPl-mCnc,Bilirubin [Mass/Vol],Bilirubin,MCnc,Pt,Ser/Plas,Qn,,CHEM,ACTIVE,mg/dL,22,Bilirrubina,MCnc,Pt,Sor/Plas,Qn,,Bilirub SerPl-mCnc,; Bilirub; Bili; TBIL; Bilirubins; Mass concentration; Level; Point in time; Random; SerPl; SerPlas; SerP; Serum; SR; Plasma; Pl; Plsm; Quantitative; QNT; Quant; Quan; Chemistry
Hepatica,Bilirrubina direta,1968-7,Bilirubin.direct [Mass/volume] in Serum or Plasma,Bilirub Direct SerPl-mCnc,Bilirubin.direct [Mass/Vol],Bilirubin.glucuronidated+Bilirubin.albumin bound,MCnc,Pt,Ser/Plas,Qn,,CHEM,ACTIVE,mg/dL,131,Bilirrubina.glicuronizada+Bilirrubina.ligada a albumina,MCnc,Pt,Sor/Plas,Qn,,Bilirub Direct SerPl-mCnc,; Bilirub Direct; TBIL-Bu; Bilirubin direct; Bilirub Conj; Bc; Bilirubin glucuronides; Bilirubin conjugated; Bilirub Delta; Bili.delta; DeltAc; TBIL-(Bu+Bc); Bili-alb; Delta bilirubin; Bili; TBIL; Bilirubins; Protein.albumin; Alb; Mass concentration; Level; Point in time; Random; SerPl; SerPlas; SerP; Serum; SR; Plasma; Pl; Plsm; Quantitative; QNT; Quant; Quan; bnd; Associated; Chemistry
Hepatica,Bilirrubina indireta,1971-1,Bilirubin.indirect [Mass/volume] in Serum or Plasma,Bilirub Indirect SerPl-mCnc,Bilirubin.indirect [Mass/Vol],Bilirubin.non-glucuronidated,MCnc,Pt,Ser/Plas,Qn,,CHEM,ACTIVE,mg/dL,183,Bilirrubina.não glicuronizada,MCnc,Pt,Sor/Plas,Qn,,Bilirub Indirect SerPl-mCnc,; Bilirub Indirect; Bu; Bilirubin indirect; Bilirubin primary; Bilirubin non-conjugated; Bilirubin unconjugated; Bili; TBIL; Bilirubins; Mass concentration; Level; Point in time; Random; SerPl; SerPlas; SerP; Serum; SR; Plasma; Pl; Plsm; Quantitative; QNT; Quant; Quan; Chemistry
Hepatica,Albumina,1751-7,Albumin [Mass/volume] in Serum or Plasma,Albumin SerPl-mCnc,Albumin [Mass/Vol],Albumin,MCnc,Pt,Ser/Plas,Qn,,CHEM,ACTIVE,g/dL,39,Albumina,MCnc,Pt,Sor/Plas,Qn,,Albumin SerPl-mCnc,Protein.albumin; Alb; Mass concentration; Level; Point in time; Random; SerPl; SerPlas; SerP; Serum; SR; Plasma; Pl; Plsm; Quantitative; QNT; Quant; Quan; Chemistry
Hepatica,Proteinas totais,2885-2,Protein [Mass/volume] in Serum or Plasma,Prot SerPl-mCnc,Protein [Mass/Vol],Protein,MCnc,Pt,Ser/Plas,Qn,,CHEM,ACTIVE,g/dL,23,Proteína,MCnc,Pt,Sor/Plas,Qn,,Prot SerPl-mCnc,; Prot; PR; Mass concentration; Level; Point in time; Random; SerPl; SerPlas; SerP; Serum; SR; Plasma; Pl; Plsm; Quantitative; QNT; Quant; Quan; Chemistry
Eletrolitos,Sodio,2951-2,Sodium [Moles/volume] in Serum or Plasma,Sodium SerPl-sCnc,Sodium [Moles/Vol],Sodium,SCnc,Pt,Ser/Plas,Qn,,CHEM,ACTIVE,mmol/L,5,Sódio,SCnc,Pt,Sor/Plas,Qn,,Sodium SerPl-sCnc,Na; Substance concentration; Level; Point in time; Random; SerPl; SerPlas; SerP; Serum; SR; Plasma; Pl; Plsm; Quantitative; QNT; Quant; Quan; Chemistry
Eletrolitos,Potassio,2823-3,Potassium [Moles/volume] in Serum or Plasma,Potassium SerPl-sCnc,Potassium [Moles/Vol],Potassium,SCnc,Pt,Ser/Plas,Qn,,CHEM,ACTIVE,mmol/L,7,Potássio,SCnc,Pt,Sor/Plas,Qn,,Potássio SerPl-sCnc,K+; Potass; K; Substance concentration; Level; Point in time; Random; SerPl; SerPlas; SerP; Serum; SR; Plasma; Pl; Plsm; Quantitative; QNT; Quant; Quan; Chemistry
